name,count
Cao Cao,652
Liu Bei,403
Lu Bu,343
Sun Ce,150
Zhang Fei,119
Yuan Shu,118
Li Jue,93
Dong Cheng,93
Guan Yu,91
Yuan Shao,80
Chen Gong,80
Guo Si,76
Dian Wei,58
Chen Deng,58
Zhang Xiu,54
Taishi Ci,52
Yang Feng,49
Kong Rong,48
Xun Yu,45
Xiahou Dun,45
Liu Biao,45
Jia Xu,44
Zhang Liao,43
The Emperor,42
Tao Qian,42
Prime Minister,41
Mi Zhu,36
Gao Shun,36
Ma Teng,34
Ji Ling,30
Guo Jia,28
Yu Jin,28
Xu Chu,28
Mi Heng,27
Sun Qian,26
Xu Huang,23
Cheng Yu,22
Han Xian,22
Zhang Ji,21
Li Dian,20
Liu Dai,19
Gongsun Zan,19
Liu Yao,19
Wang Zhong,19
Hou Cheng,18
Yue Jing,18
Cao Hong,18
Cao Bao,16
Dong Zhuo,15
Yan Baihu,15
Chen Gui,15
Fan Chou,14
Han Sui,14
Man Chong,13
Cao Ren,13
Xiahou Yuan,13
Wang Lang,13
Lu Qian,12
Zhou Yu,12
Zheng Xuan,12
Liu Ye,11
Xun You,10
Tian Feng,9
Zhu Jun,8
Ma Chao,8
Zhang Miao,8
Zang Ba,8
Huang Zu,8
Jian Yong,8
Zhang Yang,7
Cheng Pu,7
Cao Xing,6
Shen Pei,6
Dong Zhao,6
Zhou Tai,6
Chen Wu,6
Yu Fan,6
Emperor Xian,5
Cao Song,5
Zhao Zilong,5
Zhu Zhi,5
Zhou Xin,5
Zhu Ling,5
Xu You,5
Mao Jie,4
Tian Kai,4
Yan Liang,4
Sun Jian,4
Wu Jing,4
Huang Gai,4
Han Dang,4
Zhang Zhao,4
Chen Ji,4
Li Tong,4
Chen Lin,4
Zhang Chao,3
Hao Meng,3
Jiang Qin,3
Sun Quan,3
Diao Chan,3
Cao Ang,3
Yin Li,3
Ju Shou,3
Guo Tu,3
Wen Chou,3
Yuan Tan,3
Wang Yun,2
Bao Xin,2
Ying Shao,2
Zhang Yan,2
Ren Jun,2
Lady Gan,2
Lady Mi,2
Zhang Hong,2
Ling Cao,2
Sun Jing,2
Dong Xi,2
Hua Tuo,2
Wang Ze,2
Liu Zhang,2
Zhang Lu,2
Kuai Liang,2
Mi Fang,2
Zhao Yan,2
Zhang He,2
Chunyu Qiong,2
Wang Yi,1
Yan Xiang,1
Dian Man,1
Ding Yuan,1
He Jin,1
Yang Xiu,1
