p1,p2,count
Dong Zhuo,Lu Bu,38
Dong Zhuo,Li Ru,18
Dong Zhuo,Wang Yun,18
Gongsun Zan,Yuan Shao,18
Cao Cao,Dong Zhuo,16
Lu Bu,Wang Yun,16
Diao Chan,Lu Bu,12
Li Su,Lu Bu,11
Guo Si,Li Jue,10
Dong Zhuo,Yuan Shao,10
Cheng Pu,Sun Jian,10
Liu Biao,Sun Jian,10
Dong Zhuo,Li Su,9
Huang Gai,Sun Jian,9
Cao Cao,Yuan Shao,8
Ding Yuan,Dong Zhuo,8
Ding Yuan,Lu Bu,8
Gongsun Zan,Liu Bei,8
Li Ru,Lu Bu,8
Dong Zhuo,Li Jue,7
Fan Chou,Li Jue,7
Fan Chou,Zhang Ji,7
Cao Cao,Chen Gong,7
Cheng Pu,Huang Gai,7
Sun Jian,Yuan Shao,7
Diao Chan,Dong Zhuo,7
Fan Chou,Guo Si,6
Guo Si,Zhang Ji,6
Li Jue,Zhang Ji,6
Cao Cao,Lu Bu,6
Han Dang,Sun Jian,6
Dong Zhuo,Sun Jian,6
Yan Liang,Yuan Shao,6
Guo Si,Lu Bu,6
Li Jue,Lu Bu,6
Cai Mao,Sun Jian,6
Han Fu,Yuan Shao,6
Dong Zhuo,Guo Si,5
Dong Zhuo,Prime Minister,5
Guan Yu,Zhang Fei,5
Cheng Pu,Han Dang,5
Han Dang,Huang Gai,5
Hua Xiong,Sun Jian,5
Sun Jian,Yuan Shu,5
Liu Bei,Yuan Shao,5
Wen Chou,Yan Liang,5
Wen Chou,Yuan Shao,5
Gongsun Zan,Wen Chou,5
Gongsun Zan,Zhao Zilong,5
Huang Zu,Sun Jian,5
Huang Gai,Huang Zu,5
Lu Bu,Prime Minister,5
Prime Minister,Wang Yun,5
Cao Cao,He Jin,4
Dong Zhuo,Fan Chou,4
Dong Zhuo,Zhang Ji,4
Cao Cao,Yuan Shu,4
Yuan Shao,Yuan Shu,4
Li Ru,Prime Minister,4
Cao Cao,Xiahou Dun,4
Xiahou Dun,Xiahou Yuan,4
Hua Xiong,Li Su,4
Cai Mao,Kuai Yue,4
Cai Mao,Liu Biao,4
Yuan Shao,Zhao Zilong,4
Qu Yi,Yuan Shao,4
Huang Zu,Liu Biao,4
Diao Chan,Prime Minister,4
Bao Xin,Yuan Shao,3
Ding Yuan,Li Su,3
Dong Min,Dong Zhuo,3
Li Ru,Yuan Shao,3
Cai Yong,Dong Zhuo,3
Cao Cao,Xiahou Yuan,3
Cao Cao,Cao Hong,3
Guan Yu,Liu Bei,3
Hua Xiong,Yuan Shao,3
Dong Zhuo,Yuan Shu,3
Fan Chou,Lu Bu,3
Lu Bu,Zhang Ji,3
Lu Bu,Wang Kuang,3
Cao Cao,Xu Rong,3
Xiahou Dun,Xu Rong,3
Liu Biao,Yuan Shao,3
Kuai Liang,Liu Biao,3
Kuai Yue,Liu Biao,3
Gongsun Zan,Han Fu,3
Gongsun Zan,Qu Yi,3
Gongsun Zan,Yan Liang,3
Kuai Liang,Sun Jian,3
Sun Ce,Sun Jian,3
Diao Chan,Wang Yun,3
Fan Chou,Wang Yun,3
Guo Si,Wang Yun,3
Li Jue,Wang Yun,3
Wang Yun,Zhang Ji,3
Cai Yong,Wang Yun,3
Lu Bu,Niu Fu,3
Dong Zhuo,He Jin,2
Dong Zhuo,Lu Zhi,2
He Jin,Yuan Shao,2
Bao Xin,Wang Yun,2
Wang Yun,Yuan Shao,2
Dong Min,Lu Bu,2
Dong Zhuo,Yuan Wei,2
Dong Zhuo,Wu Qiong,2
Dong Zhuo,Zhou Bi,2
Wu Qiong,Yuan Shao,2
Wu Qiong,Zhou Bi,2
Yuan Shao,Zhou Bi,2
Dong Zhuo,The Emperor,2
Li Ru,The Emperor,2
Dong Zhuo,Wu Fu,2
Cao Cao,Wang Yun,2
Cao Cao,Prime Minister,2
Cao Cao,Li Ru,2
Li Dian,Xiahou Dun,2
Li Dian,Xiahou Yuan,2
Li Dian,Yue Jing,2
Xiahou Dun,Yue Jing,2
Xiahou Yuan,Yue Jing,2
