name,count
Cao Cao,2441
Liu Bei,1739
Zhuge Liang,1412
Guan Yu,890
Sun Quan,552
Lu Bu,533
Zhang Fei,513
Zhou Yu,465
Zhao Zilong,464
Sima Yi,454
Jiang Wei,437
Yuan Shao,402
Prime Minister,385
Wei Yan,346
Ma Chao,279
Dong Zhuo,268
Lu Su,246
Sun Ce,237
Deng Ai,236
Zhang He,231
Huang Zhong,193
Liu Biao,174
Zhang Liao,167
Sima Zhao,163
Cao Ren,149
Xu Huang,148
Meng Huo,145
Yuan Shu,144
Xiahou Dun,141
Cao Zhen,132
Xu Chu,129
Pang De,128
Guan Xing,126
Zhong Hui,126
Sun Jian,123
Lu Xun,123
Ma Dai,122
Li Jue,116
Cao Hong,116
Lu Meng,113
Gan Ning,113
Cao Pi,111
Pang Tong,111
Meng Da,108
Guo Huai,105
Wang Ping,105
Xiahou Yuan,103
Dong Cheng,102
Liu Zhang,100
Chen Gong,99
Yu Jin,98
Guo Si,94
Sun Qian,93
The Emperor,92
Wang Yun,91
Zhang Bao,90
Sima Shi,87
Huang Gai,86
Liao Hua,85
Zhang Yi,83
Gongsun Zan,82
Zhang Lu,81
Jia Xu,79
Guan Ping,78
Cai Mao,77
Zhang Zhao,77
Yuan Shang,77
Yuan Tan,76
Li Dian,74
Cao Shuang,74
Cao Rui,71
Han Sui,70
Xun Yu,69
Zhuge Jin,68
Taishi Ci,67
Cheng Pu,66
Ma Teng,65
Mi Zhu,65
Yang Yi,65
Xiahou Ba,65
Cao Xiu,63
Zhang Song,63
Liu Feng,62
Chen Deng,61
Zhou Tai,61
Kong Rong,60
Dian Wei,60
Han Dang,58
Xu Sheng,58
Yan Yan,58
Zhang Xiu,56
Xiahou Mao,55
Xu Shu,54
Ma Su,54
Deng Zhi,54
Ding Feng,53
Fa Zheng,53
He Jin,52
Shen Pei,51
Zhang Ren,51
Yue Jing,50
Hu Ban,50
Guan Lu,50
Li Ru,49
Huang Zu,49
Yang Feng,49
Cheng Yu,48
Guo Jia,48
Liu Qi,48
Hua Xin,46
Jia Chong,46
Wen Chou,45
Ling Tong,45
Chen Tai,44
Tao Qian,43
Yang Xiu,43
Jiang Gan,43
Fei Yi,43
Yan Liang,42
Li Su,41
Kan Ze,41
Zhuge Ke,41
Zhuge Dan,41
Sun Chen,41
Liu Ye,39
Wang Lang,39
Gao Ding,39
Mi Fang,38
Jian Yong,37
Li Yan,37
Xun You,36
Gao Shun,36
Guo Tu,36
Zhu Jun,35
Xu You,34
Mi Heng,34
Huang Quan,34
Tian Feng,33
Man Chong,33
Lady Sun,33
Pan Zhang,32
Ma Liang,32
Sun Li,32
Yang Fu,31
Huang Hao,31
Ji Ling,30
Wang Shuang,30
Zhang Ji,29
Diao Chan,29
Wu Yi,29
Hao Zhao,29
Wang Guan,29
Hua Tuo,28
Cao Zhi,28
Zhang Jue,27
Wen Ping,27
Sun Huan,27
Gongsun Yuan,26
Yang Hu,26
Hua Xiong,25
Zhou Cang,25
Wen Qin,25
Sun Hao,25
Xin Pi,24
Jiang Wan,24
Qiao Zhou,24
Jiang Qin,23
Fan Chou,22
Lu Qian,22
Han Xian,22
Chen Shi,22
Zhuge Zhan,22
Guanqiu Jian,22
Cao Mao,22
Fu Qian,22
Wei Guan,22
Cai Yong,21
Liu Dai,21
Chen Zhen,21
Yuan Xi,21
Xiahou Shang,21
Zhu Ran,21
Zhou Fang,21
Huan Fan,21
Ju Shou,20
Liu Shan,20
Wang Jing,20
Sima Wang,20
Ding Yuan,19
Liu Yao,19
Zhang Hong,19
Chen Wu,19
Wang Zhong,19
Gu Yong,19
Cao Zhang,19
Gao Xiang,19
Fei Yao,19
Cao Fang,19
Deng Zhong,19
Lu Kang,19
Du Yu,19
Emperor Xian,18
Lu Zhi,18
Kuai Yue,18
Hou Cheng,18
Lady Gan,18
Wang Ji,18
Wang Bi,18
Ma Zhong,18
Jia Kui,18
Yu Fan,17
Zhu Huan,17
Zhang Wen,17
Feng Xi,17
Zhang Ba,16
Huangfu Song,16
Cao Bao,16
Dong Xi,16
Gao Gan,16
Li Sheng,16
Sun Jun,16
Empress He,15
Yan Baihu,15
Chen Gui,15
Han Hao,15
Zhao Fan,15
Zhong Yao,15
Peng Yang,15
Wang Jun,15
Niu Jin,14
Li Hui,14
Lu Kai,14
Zheng Xuan,13
Chunyu Qiong,13
Zuo Ci,13
Sun Shao,13
Qin Lang,13
Wen Yang,13
Sun Xiu,13
Kuai Liang,12
Lady Mi,12
Gongsun Kang,12
Han Xuan,12
Wang Fu,12
Zhang Hu,12
Zhuge Xu,12
Chen Lin,11
Xin Ping,11
Mao Jie,11
Zhao Ang,11
Fei Shi,11
Xi Zheng,11
Zhang Bu,11
Jian Shuo,10
Liu Yan,10
Niu Fu,10
Bao Xin,10
Han Fu,10
Zang Ba,10
Dong Zhao,10
Guan Ning,10
Lady Wu,10
Chen Qun,10
Yang Qiu,10
Qin Mi,10
Zhang Nan,10
He Yan,10
Sun Liang,10
Zhu Yi,10
Zhang Yang,9
Zhang Miao,9
Bu Zhi,9
Wei Kang,9
Jiang Xu,9
Xu Jing,9
Jiang Ji,9
Sima Fu,9
Du Qiong,9
Dong Yun,9
Dong Jue,9
Deng Yang,9
Zhang Lian,8
Qu Yi,8
Song Qian,8
Huo Jun,8
Xiahou Wei,8
Li Fu,8
Zong Yu,8
Zhuge Shang,8
Cao Song,7
Wang Kuang,7
Xu Rong,7
Sun Jing,7
Li Tong,7
Zhu Ling,7
Wang Xiu,7
Cui Yan,7
Wang Su,7
Teng Yin,7
Pei Xiu,7
Cheng Ji,7
Wu Fu,6
Cao Xing,6
Zhu Zhi,6
Ling Cao,6
Wang Can,6
Cao Chun,6
Jin Xuan,6
Du Xi,6
Sun Jiao,6
Fan Jian,6
Empress Mao,6
Cao Yu,6
Tian Xu,6
Cao Jie,5
Yuan Wei,5
Zhang Yan,5
Wu Jing,5
Zhou Xin,5
Cao Ang,5
Sima Hui,5
Lady Xu,5
Liu Xun,5
Cao Xiong,5
Xiahou Hui,5
Xiahou He,5
Ma Jun,5
Tang Zi,5
Xiahou Xuan,5
Li Feng,5
Yu Quan,5
Qian Hong,5
Zhang Hua,5
Liu Yu,4
Zhou Bi,4
Qiao Mao,4
Sun Yi,4
Tian Kai,4
Chen Ji,4
Xu Gong,4
Lady Zhen,4
Lu Ji,4
Liu Fu,4
Liu Ba,4
Pan Jun,4
Empress Wu,4
Bi Gui,4
Wang Chang,4
Zhang Te,4
Puyang Xing,4
Cen Hun,4
Zhang Chun,3
Dong Min,3
Wu Qiong,3
Hu Zhen,3
Ma Midi,3
Sun Kuang,3
Zhang Chao,3
Hao Meng,3
Yin Li,3
Yan Jun,3
Cheng Bing,3
Sima Fang,3
Xue Zong,3
Gu Li,3
Liu Li,3
Ding Yi,3
Empress Zhang,3
Han Ji,3
Sun Deng,3
Liu Shao,3
Empress Guo,3
Xin Xianying,3
Xu Yun,3
Xue Xu,3
Xun Xu,3
Wang Xiang,3
Huo Yi,3
Sima You,3
Wan Yu,3
Lu Jing,3
Hou Lan,2
He Yong,2
Xu Shao,2
Liu Bian,2
Yuan Yi,2
Xun Shuang,2
Ying Shao,2
Ren Jun,2
Wang Ze,2
Zhao Yan,2
Wei Zi,2
Gongsun Du,2
Gongsun Gong,2
Luo Tong,2
Fu Xuan,2
Liu Du,2
Cao Yong,2
Wu Zhi,2
Huan Jie,2
Yin Mo,2
Meng Guang,2
Zhao Rong,2
Li Yin,2
Shi Ji,2
Wang Lian,2
Liao Li,2
Cao Yan,2
Yu Song,2
Wang Ye,2
Hu Ji,2
Shan Tao,2
Sima Liang,2
Sima Zhou,2
Wang Rong,2
Tao Jun,2
Cao Teng,1
Qiao Xuan,1
Zhao Qi,1
Sun Lang,1
Wang Yi,1
Yan Xiang,1
Dian Man,1
Zhuge Xuan,1
Wu Can,1
Sima Lang,1
Pang Xi,1
Lu Yin,1
Zhou Qun,1
Liu Bao,1
Xu Ci,1
Empress Zhen,1
Guo Youzhi,1
Xiang Chong,1
Du Wei,1
Lai Min,1
Li Zhuan,1
Zhang Cheng,1
Gao Rou,1
Cao Ju,1
Cao Lin,1
Zheng Mao,1
Xun Yi,1
Liu Zan,1
Hu Zong,1
