p1,p2,count
Cao Cao,Liu Bei,194
Liu Bei,Zhuge Liang,134
Guan Yu,Liu Bei,122
Cao Cao,Yuan Shao,110
Liu Bei,Zhang Fei,108
Guan Yu,Zhang Fei,95
Cao Cao,Guan Yu,85
Sima Yi,Zhuge Liang,78
Cao Cao,Lu Bu,74
Liu Bei,Zhao Zilong,73
Cao Cao,Sun Quan,72
Liu Bei,Lu Bu,70
Cao Cao,Zhuge Liang,68
Guo Si,Li Jue,63
Zhou Yu,Zhuge Liang,63
Lu Su,Zhuge Liang,61
Cao Cao,Ma Chao,60
Lu Su,Zhou Yu,57
Cao Cao,Xu Chu,56
Guan Xing,Zhang Bao,54
Zhao Zilong,Zhuge Liang,53
Cao Cao,Zhang Liao,51
Cao Cao,Xu Huang,51
Liu Bei,Sun Quan,50
Guan Yu,Zhuge Liang,49
Wei Yan,Zhuge Liang,49
Liu Bei,Yuan Shao,48
Deng Ai,Jiang Wei,47
Cao Cao,Xiahou Dun,46
Zhang Fei,Zhao Zilong,45
Liu Bei,Sun Qian,44
Dong Zhuo,Lu Bu,43
Cao Cao,Liu Biao,43
Liu Bei,Zhou Yu,42
Meng Huo,Zhuge Liang,41
Jiang Wei,Zhuge Liang,41
Liu Bei,Liu Biao,40
Lu Su,Sun Quan,40
Cao Cao,Prime Minister,39
Cao Cao,Zhang Fei,39
Zhang Fei,Zhuge Liang,39
Cao Cao,Xiahou Yuan,37
Cao Cao,Zhou Yu,37
Huang Zhong,Wei Yan,36
Cao Cao,Cao Ren,35
Lu Meng,Sun Quan,35
Cao Cao,Yu Jin,34
Sun Quan,Zhou Yu,34
Wei Yan,Zhao Zilong,34
Sun Quan,Zhuge Liang,33
Liu Bei,Lu Su,33
Huang Zhong,Liu Bei,33
Cao Zhen,Sima Yi,33
Cao Cao,Cao Hong,32
Cao Cao,Yuan Tan,31
Liu Bei,Wei Yan,31
Guan Yu,Zhao Zilong,30
Chen Gong,Lu Bu,30
Cao Cao,Lu Su,30
Cao Cao,Xun Yu,29
Cao Cao,Zhang Xiu,29
Guan Yu,Sun Qian,29
Cao Cao,Zhang He,29
Cao Cao,Yuan Shang,29
Cao Cao,Pang De,29
Li Dian,Yue Jing,28
Xu Chu,Xu Huang,28
Prime Minister,Zhuge Liang,28
Deng Ai,Zhong Hui,28
Cao Cao,Li Dian,27
Lu Bu,Yuan Shu,27
Guan Ping,Guan Yu,27
Liu Bei,Liu Zhang,26
Wang Ping,Wei Yan,26
Cao Cao,Dian Wei,25
Ding Feng,Xu Sheng,25
Han Dang,Zhou Tai,25
Ma Dai,Wei Yan,25
Jiang Wei,Wei Yan,25
Gongsun Zan,Yuan Shao,24
Han Sui,Ma Chao,24
Liu Bei,Yuan Shu,24
Guan Yu,Zhang Liao,24
Cao Cao,Zhao Zilong,24
Ma Dai,Zhuge Liang,24
Cao Cao,Dong Zhuo,23
Liu Bei,Mi Zhu,23
Guan Yu,Huang Zhong,23
